00001|||164.00
00002|||115.00
00003|||68.00
00004|||276.00
00005|||741.00
00006|||617.00
00007|||904.00
00008|||1804.00
00009|||0.46
00010|||18.35
00011|||21.75
00012|||9.95
00013|||31.65
00014|||47.05
00015|||31.65
00016|||53.50
00017|||72.10
00018|||146.00
00019|||62.10
00020|||118.00
00021|||107.00
00022|||46.65
00023|||79.90
00024|||92.80
00025|||208.00
00026|||106.00
00027|||141.00
00028|||75.10
00030|||18.35
00031|||16.20
00032|||37.50
00033|||24.00
00034|||18.35
00036|||74.40
00037|||126.00
00039|||26.45
00040|||62.10
00041|||18.35
00042|||10.65
00043|||10.65
00044|||8.70
00045|||38.25
00046|||82.30
00047|||24.35
00048|||34.10
00049|||68.00
00050|||352.00
00051|||1232.00
00052|||115.00
00053|||115.00
00054|||115.00
00055|||116.00
00056|||59.00
00058|||115.00
00059|||152.00
00060|||34.10
00061|||115.00
00062|||119.00
00063|||119.00
00064|||58.00
00065|||119.00
00066|||58.00
00067|||62.10
00068|||57.50
00069|||115.00
00070|||133.00
00071|||279.00
00072|||835.00
00073|||1395.00
00074|||2230.00
00075|||1395.00
00080|||17.50
00081|||233.00
00082|||115.00
00083|||233.00
00084|||256.00
00085|||163.00
00086|||163.00
00087|||115.00
00088|||212.00
00089|||115.00
00090|||52.50
00091|||332.00
00092|||1673.00
00093|||27.90
00094|||124.00
00095|||77.90
00096|||1.25
00097|||82.70
00098|||47.92
00100|||58.00
00101|||125.00
00103|||102.00
00104|||51.40
00105|||109.00
00108|||51.00
00109|||116.00
00110|||125.00
00111|||203.00
00112|||148.00
00113|||82.50
00114|||51.00
00115|||102.00
00116|||256.00
00117|||21.85
00118|||176.00
00119|||125.00
00120|||125.00
00121|||236.00
00122|||118.00
00123|||82.50
00127|||51.00
00128|||51.00
00190|||60.30
00193|||66.10
00194|||142.00
00195|||253.00
00196|||356.00
00197|||466.00
00198|||53.10
00204|||68.80
00205|||262.00
00206|||385.00
00207|||68.80
00208|||68.80
00209|||128.00
00210|||162.00
00214|||114.00
00217|||33.90
00218|||174.00
00219|||86.70
00222|||71.90
00223|||71.90
00224|||72.20
00225|||1038.00
00226|||897.00
00227|||853.00
00228|||83.10
00235|||221.00
00236|||331.00
00237|||122.00
00278|||134.55
00301|||609.00
00302|||161.00
00305|||244.00
00306|||77.80
00307|||82.30
00308|||60.40
00309|||121.00
00310|||425.00
00312|||214.00
00313|||432.00
00314|||214.00
00315|||221.00
00316|||73.40
00317|||114.00
00318|||29.90
00319|||168.00
00322|||162.00
00323|||1143.00
00325|||273.00
00326|||156.00
00328|||238.00
00330|||541.00
00331|||319.00
00332|||274.00
00333|||888.00
00334|||252.00
00335|||149.00
00336|||102.00
00337|||961.00
00338|||398.00
00340|||236.00
00341|||155.00
00342|||82.30
00343|||19.45
00344|||11.20
00345|||11.20
00347|||225.00
00348|||82.30
00349|||180.00
00350|||1528.00
00351|||580.00
00352|||385.00
00353|||68.90
00354|||138.00
00355|||1143.00
00356|||155.00
00357|||149.00
00358|||155.00
00359|||155.00
00361|||189.00
00362|||100.00
00363|||138.00
00364|||90.80
00365|||45.65
00366|||2570.00
00368|||401.00
00369|||52.40
00370|||169.00
00371|||102.00
00372|||149.00
00373|||697.00
00374|||1039.00
00381|||438.00
00382|||274.00
00383|||138.00
00385|||2766.00
00386|||4229.00
00387|||4556.00
00388|||977.00
00389|||405.00
00390|||2988.00
00391|||428.00
00392|||120.00
00393|||470.00
00394|||324.00
00395|||21.40
00396|||15.65
00397|||15.80
00405|||200.00
00406|||63.40
00407|||65.80
00408|||49.20
00409|||98.50
00410|||346.00
00411|||174.00
00413|||203.00
00415|||272.00
00416|||55.60
00417|||631.00
00418|||61.30
00419|||1098.00
00420|||560.00
00421|||1271.00
